ID,L-BFA1,L-BFA2,L-BFA3,L-BFC1,L-PFA1-leaf,L-PFA1,L-PFA2,L-BFC2,L-PC1,L-PC3,L-PFC1,Apple-Leaves-Standard
Mg,0.3142,0.2999,0.4156,0.2635,< LOD,< LOD,< LOD,0.559,< LOD,< LOD,< LOD,0.3345
Mg Err,0.181,0.1875,0.1799,0.1782,0.1778,0.1568,0.1536,0.1881,0.155,0.1547,0.1679,0.1939
Al,< LOD,< LOD,< LOD,0.0347,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,0.0473
Al Err,0.0358,0.0365,0.0336,0.0329,0.0366,0.0314,0.0322,0.0337,0.0296,0.0291,0.0322,0.0383
Si,0.0435,0.0541,0.0153,0.0428,5.6411,7.5344,6.5389,0.0146,2.8547,5.109,5.8593,0.1225
Si Err,0.0134,0.0134,0.0124,0.0124,0.0556,0.0629,0.0587,0.0119,0.0396,0.0519,0.0559,0.0147
P,0.2639,0.224,0.2218,0.1771,0.1074,0.0141,0.0188,0.1701,0.0284,0.0219,0.025,0.1656
P Err,0.007,0.0066,0.0066,0.0061,0.0051,0.0029,0.0031,0.006,0.0033,0.0031,0.0033,0.0061
S,0.1564,0.1754,0.1436,0.3224,0.6691,0.1649,0.2262,0.1196,< LOD,0.0392,0.0922,0.2083
S Err,0.0038,0.0039,0.0037,0.0049,0.0065,0.0036,0.004,0.0035,0.0024,0.0027,0.0035,0.0041
Cl,0.1439,0.2052,0.1109,0.1447,0.3087,0.2554,0.121,0.2052,0.6134,0.5018,1.0163,0.0681
Cl Err,0.0149,0.0158,0.0146,0.015,0.0167,0.0153,0.0136,0.0158,0.0199,0.0184,0.0234,0.0143
K,1.3653,1.7549,0.8782,0.475,1.3889,0.7671,1.0678,0.8215,0.4371,0.3991,0.8984,1.7659
K Err,0.0064,0.0072,0.0052,0.004,0.0068,0.005,0.0058,0.0051,0.0038,0.0037,0.0055,0.0072
Ca,0.9225,0.8703,1.1027,1.1556,0.5272,0.1149,0.0754,1.5444,0.0573,0.0722,0.0991,1.7361
Ca Err,0.0038,0.0037,0.004,0.0041,0.003,0.0016,0.0013,0.0046,0.0013,0.0013,0.0015,0.0049
Ti,0.001,0.0007,0.0013,0.0003,0.0004,0.0003,< LOD,0.0006,< LOD,< LOD,< LOD,0.0008
Ti Err,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003
V,0.0002,0.0001,0.0002,< LOD,0.0001,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD
V Err,0,0,0,0,0,0,0,0,0,0,0,0
Cr,< LOD,< LOD,< LOD,0.0004,0.0002,< LOD,0.0003,< LOD,0.0003,0.0004,0.0005,< LOD
Cr Err,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Mn,0.0103,0.0063,0.0089,0.1144,0.0048,0.0025,0.004,0.027,0.003,0.006,0.0084,0.0077
Mn Err,0.0006,0.0005,0.0005,0.0016,0.0005,0.0006,0.0007,0.0008,0.0005,0.0008,0.0008,0.0006
Fe,0.0128,0.0183,0.0134,0.0153,0.0221,0.0049,0.0061,0.0094,0.0246,0.0232,0.0107,0.0156
Fe Err,0.0006,0.0007,0.0006,0.0008,0.0007,0.0005,0.0006,0.0006,0.0009,0.0011,0.0007,0.0008
Ni,0.0007,0.0008,0.0015,0.0004,0.0005,0.0002,< LOD,< LOD,0.0005,< LOD,< LOD,< LOD
Ni Err,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Cu,0.0007,0.0008,0.0008,0.0005,0.0004,0.0017,0.0023,0.0006,0.0007,0.0036,0.0024,0.0008
Cu Err,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001
Zn,0.0451,0.0248,0.0209,0.0106,0.0037,0.0052,0.0038,0.021,0.0038,0.004,0.0099,0.0018
Zn Err,0.0005,0.0004,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0002
As,< LOD,< LOD,< LOD,< LOD,0.0001,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,0.0008
As Err,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002
Se,0.0009,0.0007,0.0008,< LOD,0.0002,< LOD,< LOD,< LOD,0.0002,< LOD,< LOD,< LOD
Se Err,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001
Br,0.0007,0.0007,0.0005,0.0004,0.0406,0.0239,0.0875,0.0009,0.004,0.0052,0.0083,0.0003
Br Err,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0006,0.0002,0.0002,0.0003,0.0003,0.0002
Rb,0.0016,0.0025,0.0021,0.0013,0.0016,0.0011,< LOD,0.0009,< LOD,< LOD,< LOD,0.0009
Rb Err,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
Sr,0.0413,0.0385,0.0467,0.0032,0.0094,0.0024,0.0012,0.0059,0.0006,0.0011,0.0011,0.0029
Sr Err,0.0004,0.0004,0.0004,0.0002,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003
Mo,0.0004,< LOD,< LOD,< LOD,0.0003,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD
Mo Err,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Cd,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD
Cd Err,0.0016,0.0015,0.0016,0.0017,0.0018,0.0012,0.0012,0.0016,0.0013,0.001,0.0012,0.0013
Ba,0.0301,0.0272,0.0279,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD
Ba Err,0.0084,0.0085,0.0082,0.0076,0.008,0.0091,0.0095,0.0077,0.0084,0.0104,0.0092,0.0089
Hg,< LOD,< LOD,< LOD,< LOD,0.0014,< LOD,< LOD,< LOD,0.0016,< LOD,< LOD,0.0002
Hg Err,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
Pb,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD,< LOD
Pb Err,0.0004,0.0005,0.0004,0.0004,0.0004,0.0006,0.0006,0.0004,0.0005,0.0007,0.0006,0.0005